station_name,longitude,latitude
Demand 01,-97.7217247499999,30.25948737
Demand 02  ,-97.8602694099999,30.15636358
Demand 03  ,-97.7503950699999,30.24662518
Demand 04 ,-97.6615917999999,30.32339149
Demand 05,-97.7482999999999,30.265327
Demand 06,-97.7259999999999,30.326725
Demand 07,-97.9295778989999,30.39848581
Station 01,-97.7678132899999,30.22977355
Station 02,-97.8054399999999,30.206495
Station 03,-97.7343149999999,30.274637
Station 04,-97.6842324899999,30.27824902
Station 05,-97.7264146799999,30.32672533
Station 06,-97.7394194699999,30.26582831
Station 07,-97.7231080899999,30.37236405
Station 08,-97.7588594799999,30.33455506
Station 09,-97.9348469179999,30.302810828
Station 10,-97.7427673899999,30.41819953
Station 11,-97.8535901899999,30.22782184
Station 12,-97.7132197299999,30.2292149
Station 13,-97.6784999999999,30.35271081
Station 14,-97.6895245299999,30.32525961
Station 15,-97.7936091899999,30.17470861
Station 16,-97.8368195599999,30.40433212
Station 17,-97.7725225199999,30.27734164
Station 18,-97.6923538799999,30.38399792
Station 19,-97.8018875799999,30.44651026
Station 20,-97.8239838099999,30.13933909
Station 21,-97.8200249299999,30.27945028
Station 22,-98.0006876299999,30.43210206
Station 23,-97.5612131399999,30.34180422
Station 24,-97.7443559999999,30.0997659999999
Station 25,-97.9225452899999,30.49262833
Station 26,-98.066519,30.3555008
Station 27,-97.9685019359999,30.346232091
Station 28,-97.7424767099999,30.18690915
Station 29,-97.6532561099999,30.39952596
Station 30,-97.6557479799999,30.21606195
Station 31,-97.8975703899999,30.18291397
Station 32,-97.9197071299999,30.23950007
Station 33,-97.7092092399999,30.29974433
Station 34,-97.7657451699999,30.48172221
Station 35,-97.6131239699999,30.3470128
Station 36,-97.6436239999999,30.157544
Station 37,-97.5826048799999,30.24623636
