geometry,OBJECTID_1
"GeoInterface.Point([-97.72172475, 30.25948737])",48
"GeoInterface.Point([-97.86026941, 30.15636358])",1
"GeoInterface.Point([-97.75039507, 30.24662518])",2
"GeoInterface.Point([-97.6615918, 30.32339149])",3
"GeoInterface.Point([-97.7483, 30.265327])",4
"GeoInterface.Point([-97.726, 30.326725])",5
"GeoInterface.Point([-97.9295779, 30.39848581])",51
"GeoInterface.Point([-97.76781329, 30.22977355])",15
"GeoInterface.Point([-97.80544, 30.206495])",16
"GeoInterface.Point([-97.734315, 30.274637])",17
"GeoInterface.Point([-97.68423249, 30.27824902])",18
"GeoInterface.Point([-97.72641468, 30.32672533])",19
"GeoInterface.Point([-97.73941947, 30.26582831])",20
"GeoInterface.Point([-97.72310809, 30.37236405])",21
"GeoInterface.Point([-97.75885948, 30.33455506])",14
"GeoInterface.Point([-97.93484692, 30.30281083])",22
"GeoInterface.Point([-97.74276739, 30.41819953])",23
"GeoInterface.Point([-97.85359019, 30.22782184])",24
"GeoInterface.Point([-97.71321973, 30.2292149])",25
"GeoInterface.Point([-97.6785, 30.35271081])",26
"GeoInterface.Point([-97.68952453, 30.32525961])",27
"GeoInterface.Point([-97.79360919, 30.17470861])",28
"GeoInterface.Point([-97.83681956, 30.40433212])",29
"GeoInterface.Point([-97.77252252, 30.27734164])",30
"GeoInterface.Point([-97.69235388, 30.38399792])",31
"GeoInterface.Point([-97.80188758, 30.44651026])",32
"GeoInterface.Point([-97.82398381, 30.13933909])",13
"GeoInterface.Point([-97.82002493, 30.27945028])",33
"GeoInterface.Point([-98.00068763, 30.43210206])",34
"GeoInterface.Point([-97.56121314, 30.34180422])",35
"GeoInterface.Point([-97.744356, 30.099766])",36
"GeoInterface.Point([-97.92254529, 30.49262833])",37
"GeoInterface.Point([-98.066519, 30.3555008])",38
"GeoInterface.Point([-97.96850194, 30.34623209])",50
"GeoInterface.Point([-97.74247671, 30.18690915])",39
"GeoInterface.Point([-97.65325611, 30.39952596])",40
"GeoInterface.Point([-97.65574798, 30.21606195])",41
"GeoInterface.Point([-97.89757039, 30.18291397])",42
"GeoInterface.Point([-97.91970713, 30.23950007])",43
"GeoInterface.Point([-97.70920924, 30.29974433])",44
"GeoInterface.Point([-97.76574517, 30.48172221])",45
"GeoInterface.Point([-97.61312397, 30.3470128])",46
"GeoInterface.Point([-97.643624, 30.157544])",52
"GeoInterface.Point([-97.58260488, 30.24623636])",47
"GeoInterface.Point([-97.74830002, 30.26532705])",6
"GeoInterface.Point([-97.73351271, 30.25223191])",7
"GeoInterface.Point([-97.66587865, 30.2778365])",8
"GeoInterface.Point([-97.70935545, 30.27398302])",9
"GeoInterface.Point([-97.69156154, 30.29918627])",10
"GeoInterface.Point([-97.70603507, 30.18667287])",11
"GeoInterface.Point([-97.9295779, 30.39848581])",12
