stn1_min,stn2_min,stn3_min,stn4_min,stn5_min,stn6_min,stn7_min,stn8_min,stn9_min,stn10_min,stn11_min,stn12_min,stn13_min,stn14_min,stn15_min,stn16_min,stn17_min,stn18_min,stn19_min,stn20_min,stn21_min,stn22_min,stn23_min,stn24_min,stn25_min,stn26_min,stn27_min,stn28_min,stn29_min,stn30_min,stn31_min,stn32_min,stn33_min,stn34_min,stn35_min,stn36_min,stn37_min,stn38_min,stn39_min,stn40_min,stn41_min,stn42_min,stn43_min,stn44_min,STATION_NAME,LONGITUDE,LATITUDE,OBJECTID_1
0.0,1356.69,501.44,819.8,377.81,742.39,2543.19,631.78,925.03,300.42,458.05,750.52,258.07,816.3,933.44,1701.27,1097.08,1007.06,501.14,840.43,753.69,848.03,1968.29,614.66,991.23,1403.35,1085.57,1005.6,3379.57,1191.21,1453.15,2485.79,2450.47,2215.1,851.94,1070.92,743.74,1273.41,1451.87,557.34,1558.08,1028.15,1026.71,1243.95,Demand 01,-97.72172474999991,30.25948737,1
1402.96,0.0,1261.77,1841.37,1255.82,1528.76,2361.47,1046.53,730.42,1344.65,1676.95,1536.89,1291.91,1720.0,1368.88,1495.65,1760.75,780.07,1471.24,1862.0,1775.26,662.27,2192.5,1092.73,1938.04,2067.02,330.85,1066.09,4043.24,2212.78,1130.72,3149.46,2244.85,2009.48,1156.05,2092.49,1542.19,609.54,1043.24,1578.91,2221.75,2049.72,1497.45,1957.65,Demand 02  ,-97.8602694099999,30.15636358,2
517.92,1213.92,0.0,984.83,334.14,907.42,2272.62,228.16,630.56,488.11,820.41,915.54,376.72,981.33,980.21,1406.8,1262.11,712.59,521.65,1005.46,918.72,705.26,1843.92,643.95,1156.26,1568.38,942.79,717.51,3544.6,1356.24,1310.37,2650.82,2156.01,1920.63,709.16,1235.95,875.59,978.94,1157.41,722.37,1723.11,1193.18,1158.55,1375.79,Demand 03  ,-97.75039506999991,30.24662518,3
872.67,1813.66,958.41,0.0,859.98,492.27,2257.82,1088.75,1382.0,693.09,560.14,500.4,751.0,530.93,851.94,2158.24,811.71,1464.03,939.43,383.33,397.74,1305.0,1682.91,1096.83,783.95,1117.98,1542.54,1407.26,3094.2,618.85,1793.28,2200.41,2852.63,2541.15,1235.62,848.46,1016.55,1724.9,1908.84,660.74,1272.71,455.8,1299.52,1031.84,Demand 04 ,-97.66159179999991,30.32339149,4
390.7,1276.0,308.76,861.73,0.0,784.32,2284.04,400.55,802.96,256.42,635.92,792.44,127.88,858.23,699.17,1535.87,1091.05,841.66,733.42,882.36,795.62,860.83,1796.0,361.86,1033.16,1397.32,1098.36,709.66,3373.54,1233.14,1465.94,2479.75,2243.52,1932.05,864.74,1112.85,1031.16,1027.3,1286.47,599.26,1552.05,1070.08,1314.12,1495.41,Demand 05,-97.7482999999999,30.265327000000003,5
715.76,1529.08,801.5,483.23,703.06,0.0,2063.16,931.84,1225.08,536.18,751.25,12.53,594.09,457.52,391.42,1788.95,738.29,1094.74,1020.68,595.17,417.12,1148.09,1488.25,666.13,660.32,1044.57,1385.62,962.74,3020.79,854.64,1753.2,2127.0,2496.6,2185.13,1152.0,860.88,1318.42,1280.38,1539.55,498.14,1199.3,691.58,1554.56,1269.29,Demand 06,-97.7259999999999,30.326725,6
2528.34,2316.19,2279.52,2244.28,2242.17,2088.32,0.0,2064.28,2155.17,2348.76,2491.89,2077.41,2278.26,1907.06,1747.66,909.87,1721.17,1681.64,2573.29,2213.18,2168.58,2481.53,802.19,2079.07,2119.15,1300.68,2542.04,1604.81,3107.44,2615.81,3107.68,2213.65,1217.01,516.86,2430.06,2507.84,2559.95,2040.7,1452.96,2352.97,1609.73,2452.75,2842.91,2976.22,Demand 07,-97.9295778989999,30.39848581,7
653.14,1012.41,228.16,1091.55,425.93,1014.13,2057.38,0.0,415.32,594.83,927.13,1022.26,468.51,1088.05,886.86,1191.56,1278.74,497.36,680.27,1112.18,1025.44,623.24,1628.69,610.72,1262.98,1585.01,860.78,502.27,3561.23,1462.96,1228.35,2667.44,1940.77,1705.39,550.73,1342.67,680.62,763.7,942.17,829.08,1739.74,1299.9,963.59,1180.82,Station 01,-97.7678132899999,30.22977355,8
905.14,748.7,652.21,1343.56,849.98,1228.89,2178.51,436.97,0.0,846.84,1179.13,1237.02,834.21,1340.05,1069.0,1312.69,1460.87,484.41,945.97,1364.18,1277.44,432.28,1810.82,792.85,1514.98,1767.15,653.28,684.41,3743.37,1714.96,1342.35,2849.58,2061.89,1826.52,630.69,1594.67,932.63,720.76,958.17,1081.09,1921.88,1551.9,1215.59,1432.83,Station 02,-97.8054399999999,30.206495,9
305.53,1270.23,414.98,670.73,269.08,593.31,2394.12,545.32,838.57,0.0,454.08,601.44,163.63,667.23,730.58,1614.81,948.01,920.6,634.16,691.36,604.61,761.57,1819.21,505.93,842.16,1254.28,999.11,878.04,3230.5,1042.14,1366.69,2336.71,2364.01,2100.43,765.48,921.85,931.9,1186.95,1365.41,408.26,1409.01,879.08,1214.87,1266.11,Station 03,-97.73431499999991,30.274637,10
458.05,1621.98,766.73,546.55,638.98,728.09,2528.46,897.07,1190.32,443.25,0.0,736.22,530.0,801.56,987.2,1966.56,1082.34,1272.35,703.14,758.35,596.24,1113.32,1953.55,875.83,1017.93,1388.61,1350.85,1265.73,3364.83,1031.78,1556.98,2471.05,2715.76,2480.39,999.33,1097.62,780.26,1538.69,1717.16,416.21,1543.35,868.72,1063.22,887.64,Station 04,-97.6842324899999,30.27824902,11
723.89,1537.21,809.62,491.36,711.19,12.53,2055.0,939.96,1233.21,544.3,759.38,0.0,602.22,470.02,383.26,1797.08,750.8,1102.87,1028.81,607.68,425.24,1156.22,1480.09,674.26,672.83,1057.07,1393.75,970.87,3033.3,862.77,1761.33,2139.51,2504.73,2193.26,1160.13,873.39,1326.55,1288.51,1547.68,506.27,1211.81,699.71,1562.69,1277.42,Station 05,-97.7264146799999,30.32672533,12
262.82,1256.29,396.5,739.32,148.2,661.9,2350.38,493.74,824.62,134.01,513.51,670.03,0.0,735.81,717.59,1600.86,1016.59,906.65,620.21,759.94,673.2,747.63,1814.42,385.05,910.74,1322.86,985.16,776.0,3299.08,1110.72,1352.74,2405.3,2309.86,1998.39,751.53,990.43,917.96,1093.64,1351.46,476.85,1477.6,947.66,1200.92,1373.0,Station 06,-97.7394194699999,30.26582831,13
832.63,1575.6,918.37,548.58,819.94,462.23,1823.88,1048.71,1302.61,653.05,796.18,474.74,710.96,0.0,446.89,1724.3,377.77,1141.26,1096.37,517.47,472.88,1264.96,1248.97,712.65,443.35,684.04,1502.5,1009.26,2660.26,920.1,1870.08,1766.47,2418.68,2107.21,1268.87,812.13,1173.49,1326.9,1586.07,657.26,838.77,757.04,1456.46,1280.52,Station 07,-97.72310808999991,30.37236405,14
907.55,1297.45,896.96,836.11,616.12,394.17,1741.53,863.5,1024.46,699.51,1010.37,383.26,644.73,594.18,0.0,1557.32,634.93,863.11,1264.95,900.3,769.99,1301.78,1166.63,434.5,812.23,941.2,1511.07,731.11,2917.43,1207.52,1906.89,2023.64,2264.97,1953.5,1229.27,1172.26,1359.16,1048.75,1307.93,758.0,1095.94,1044.46,1642.12,1622.17,Station 08,-97.7588594799999,30.33455506,15
1696.32,1480.05,1443.39,2121.42,1501.06,1774.0,939.55,1228.15,1319.03,1638.02,1970.31,1782.13,1537.15,1784.19,1614.11,0.0,1711.6,845.5,1737.15,2090.31,2045.72,1645.39,1694.26,1337.97,1996.28,2017.87,1705.9,870.18,3994.09,2492.94,2271.54,3100.31,822.93,587.56,1593.92,2384.97,1723.81,1204.56,616.83,1872.27,2172.61,2329.88,2006.77,2224.01,Station 09,-97.93484691799989,30.302810828000002,16
1112.22,1718.71,1197.95,828.16,1037.38,741.82,1778.94,1284.76,1445.72,932.63,1075.76,754.33,990.54,490.93,590.01,1716.58,0.0,1284.37,1375.95,797.05,752.46,1544.55,1241.26,855.76,584.3,497.21,1782.08,1081.32,2473.43,1199.68,2149.66,1579.65,2410.97,2099.5,1548.46,879.74,1453.07,1470.01,1729.19,936.84,651.95,1036.62,1736.04,1560.1,Station 10,-97.7427673899999,30.41819953,17
977.33,774.41,724.39,1415.74,782.06,1055.01,1698.62,509.15,488.37,919.02,1251.31,1063.13,818.16,1246.24,895.12,832.8,1286.99,0.0,1018.16,1436.37,1349.63,814.73,1718.75,618.97,1464.29,1593.26,1000.27,592.33,3569.48,1787.15,1552.54,2675.7,1582.01,1346.63,874.92,1666.86,1004.81,542.68,537.27,1153.27,1748.0,1624.09,1287.78,1505.01,Station 11,-97.8535901899999,30.22782184,18
495.23,1373.92,529.91,1089.3,752.74,1064.92,2481.18,545.87,839.12,645.62,730.87,1073.05,632.99,1138.84,1310.66,1615.36,1419.61,921.15,0.0,1162.97,1076.22,865.26,2052.48,989.59,1313.77,1725.89,1102.79,926.07,3702.11,1501.96,1337.69,2808.32,2364.57,2129.19,523.4,1393.46,644.8,1187.5,1365.97,879.87,1880.62,1338.91,927.76,1145.0,Station 12,-97.7132197299999,30.2292149,19
855.75,1796.74,941.49,379.96,843.06,605.26,2215.21,1071.83,1365.08,676.17,758.54,617.76,734.08,456.23,860.98,2115.63,769.1,1447.11,1058.73,0.0,328.8,1288.08,1640.3,1079.91,411.04,1075.37,1525.62,1423.35,3051.59,854.13,1893.2,2157.8,2810.02,2498.54,1291.99,523.23,1135.86,1713.46,1891.92,680.38,1230.1,618.93,1418.82,1242.88,Station 13,-97.6784999999999,30.35271081,20
749.03,1690.02,834.77,364.98,736.34,462.9,2179.21,965.11,1258.36,569.45,597.35,475.41,627.36,452.32,824.98,2034.6,733.09,1340.39,1009.67,324.33,0.0,1181.36,1604.3,973.19,693.9,1039.36,1418.9,1345.31,3015.59,736.39,1786.48,2121.8,2774.01,2462.54,1185.27,773.59,1086.8,1606.74,1785.2,504.02,1194.1,573.33,1369.76,1151.05,Station 14,-97.6895245299999,30.32525961,21
887.87,672.59,780.87,1326.28,936.68,1248.87,2511.19,649.89,431.51,829.56,1161.86,1257.0,816.94,1322.78,1413.22,1645.37,1603.56,817.09,956.15,1346.91,1260.17,0.0,2156.5,1137.07,1497.71,1909.83,574.09,1030.08,3886.05,1697.69,969.53,2992.27,2394.57,2159.2,617.49,1577.4,1029.37,905.9,1260.45,1063.82,2064.56,1534.63,1312.33,1529.57,Station 15,-97.7936091899999,30.17470861,22
1956.24,2116.32,1874.06,1672.18,1735.6,1516.22,807.79,1658.82,1819.78,1776.66,1919.79,1505.31,1764.21,1334.96,1175.56,1670.18,1262.37,1681.97,2167.82,1641.08,1596.48,2097.1,0.0,1553.98,1547.05,862.94,2329.94,1189.9,2733.75,2043.71,2702.21,1839.96,1977.33,1277.18,2024.59,1935.74,2154.48,1867.61,2126.79,1780.86,1171.99,1880.65,2437.44,2404.12,Station 16,-97.83681955999991,30.40433212,23
614.26,1016.74,603.67,1085.29,322.83,720.63,2024.78,582.79,743.75,479.99,859.48,728.75,351.44,911.86,560.74,1276.61,952.61,582.4,971.66,1105.92,1019.18,1021.07,1576.81,0.0,1129.91,1258.88,1230.36,450.4,3235.1,1456.7,1626.18,2341.32,1984.26,1672.79,948.56,1336.41,1078.45,768.04,1027.21,822.83,1413.62,1293.64,1361.41,1578.65,Station 17,-97.77252251999991,30.27734164,24
1007.91,1948.91,1093.65,815.89,995.22,707.96,2232.0,1223.99,1517.24,828.33,1066.01,720.47,886.24,498.15,906.25,2132.42,709.3,1599.27,1312.83,450.29,751.91,1440.25,1657.1,1172.0,0.0,1080.87,1677.78,1468.61,3057.09,1216.89,2045.36,2163.31,2826.81,2515.34,1444.16,482.93,1559.1,1786.25,2044.09,832.54,1088.16,920.68,1842.06,1631.54,Station 18,-97.6923538799999,30.38399792,25
1380.42,1986.92,1466.16,1096.36,1305.59,1010.02,1327.88,1552.97,1713.93,1200.84,1343.97,1022.53,1258.75,759.14,858.21,1984.79,450.51,1552.58,1644.16,1065.26,1020.67,1812.76,891.96,1123.97,981.6,0.0,2050.29,1349.53,2260.43,1467.89,2417.87,1366.64,2497.42,1797.27,1816.66,1313.68,1721.28,1738.22,1997.39,1205.05,512.35,1304.83,2004.25,1828.31,Station 19,-97.8018875799999,30.44651026,26
1131.84,330.85,1024.84,1570.25,1180.65,1492.83,2599.26,893.85,653.22,1073.53,1405.82,1500.96,1060.9,1566.74,1578.6,1733.45,1847.52,1017.87,1200.11,1590.88,1504.13,563.78,2400.46,1302.46,1741.67,2153.79,0.0,1274.04,4130.02,1941.66,910.18,3236.23,2482.65,2247.27,884.92,1821.37,1273.33,614.14,1281.04,1307.78,2308.53,1778.6,1276.91,1737.1,Station 20,-97.8239838099999,30.13933909,27
1014.98,1005.12,762.86,1417.68,716.07,989.01,1616.11,547.62,708.59,880.7,1260.2,997.14,752.16,1126.76,829.12,881.2,1054.17,570.78,1056.63,1432.88,1351.57,985.9,1168.14,552.97,1338.85,1360.44,1218.74,0.0,3336.67,1789.09,1591.02,2442.88,1575.59,1264.12,913.39,1705.33,1043.28,756.42,1015.59,1191.75,1515.18,1626.03,1326.25,1543.48,Station 21,-97.8200249299999,30.27945028,28
